City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,59.81,77,37,17.65,ZA,2022-07-28 23:07:20
1,Belm,52.3,8.1333,64.56,59,100,9.62,DE,2022-07-28 23:07:20
2,Asfi,32.2994,-9.2372,70.29,88,0,15.39,MA,2022-07-28 23:07:21
3,Longyearbyen,78.2186,15.6401,40.84,93,75,9.22,SJ,2022-07-28 23:07:21
4,Praia,14.9215,-23.5087,79.5,75,2,11.99,CV,2022-07-28 23:03:08
5,Mao,39.8885,4.2658,77.56,78,0,4.61,ES,2022-07-28 23:07:22
6,Mahebourg,-20.4081,57.7,70.25,77,5,10.29,MU,2022-07-28 23:07:22
7,Los Llanos De Aridane,28.6585,-17.9182,69.55,93,0,18.41,ES,2022-07-28 23:07:22
8,Sao Filipe,14.8961,-24.4956,79.88,74,13,13.58,CV,2022-07-28 23:07:23
9,Ouargaye,11.5033,0.0572,76.51,82,96,10.67,BF,2022-07-28 23:07:23
10,Jamestown,42.097,-79.2353,78.39,38,0,18.41,US,2022-07-28 23:07:23
11,Vardo,70.3705,31.1107,49.98,76,100,8.05,NO,2022-07-28 23:07:24
12,Busselton,-33.65,115.3333,58.8,65,100,15.95,AU,2022-07-28 23:07:24
13,Ushuaia,-54.8,-68.3,40.66,81,40,18.41,AR,2022-07-28 23:07:24
14,Mar Del Plata,-38.0023,-57.5575,48.09,94,100,17.0,AR,2022-07-28 23:04:16
15,Saint-Philippe,-21.3585,55.7679,67.59,84,22,9.17,RE,2022-07-28 23:07:25
16,Port Alfred,-33.5906,26.891,68.18,58,0,1.99,ZA,2022-07-28 23:07:25
17,Qaanaaq,77.484,-69.3632,41.13,67,16,3.04,GL,2022-07-28 23:07:26
18,Chinsali,-10.5414,32.0816,56.61,63,11,8.14,ZM,2022-07-28 23:07:26
19,Souillac,-20.5167,57.5167,68.45,82,2,9.37,MU,2022-07-28 23:02:37
20,Bengkulu,-3.8004,102.2655,75.02,88,94,5.03,ID,2022-07-28 23:07:27
21,Kruisfontein,-34.0033,24.7314,59.67,54,0,9.37,ZA,2022-07-28 23:07:27
22,Arraial Do Cabo,-22.9661,-42.0278,72.0,78,20,25.95,BR,2022-07-28 23:07:27
23,Punta Arenas,-53.15,-70.9167,41.11,86,83,22.48,CL,2022-07-28 23:02:37
24,Laguna,38.421,-121.4238,102.34,34,0,8.05,US,2022-07-28 23:05:09
25,Chuy,-33.6971,-53.4616,47.7,81,79,15.59,UY,2022-07-28 23:07:28
26,The Valley,18.217,-63.0578,82.54,74,20,11.5,AI,2022-07-28 23:07:29
27,Bosaso,11.2842,49.1816,90.32,37,0,22.77,SO,2022-07-28 23:07:29
28,Toledo,39.8333,-4.0,77.97,28,0,6.55,ES,2022-07-28 23:05:23
29,East London,-33.0153,27.9116,70.32,53,21,18.37,ZA,2022-07-28 23:07:29
